2017-09-20 13:09:42.081 INFO  [qtp27557884-40] - 
2017-09-20 13:09:42.082 INFO  [qtp27557884-40] - *************************************************
2017-09-20 13:09:42.082 INFO  [qtp27557884-40] - SensorHub Restarted
2017-09-20 13:09:42.082 INFO  [qtp27557884-40] - Starting log for 'Loading Dock 2' [urn:osh:client:0552cd9c-daab-4853-b2c8-1549d1adf36d]
2017-09-20 13:09:42.082 INFO  [qtp27557884-40] - Module INITIALIZING
2017-09-20 13:09:42.082 INFO  [qtp27557884-40] - Module INITIALIZED
2017-09-20 13:09:42.083 INFO  [ModuleRegistry-7] - Module STARTING
2017-09-20 13:09:42.084 INFO  [ModuleRegistry-7] - Module STARTED
2017-09-20 13:15:00.492 INFO  [ModuleRegistry-9] - Module STOPPING
2017-09-20 13:15:00.493 INFO  [ModuleRegistry-9] - Module STOPPED
2017-09-21 10:01:59.702 INFO  [ModuleRegistry-14] - 
2017-09-21 10:01:59.702 INFO  [ModuleRegistry-14] - *************************************************
2017-09-21 10:01:59.703 INFO  [ModuleRegistry-14] - SensorHub Restarted
2017-09-21 10:01:59.703 INFO  [ModuleRegistry-14] - Starting log for 'Loading Dock 2' [urn:osh:client:0552cd9c-daab-4853-b2c8-1549d1adf36d]
2017-09-21 10:01:59.703 INFO  [ModuleRegistry-14] - Module INITIALIZING
2017-09-21 10:02:00.100 INFO  [ModuleRegistry-14] - Module INITIALIZED
2017-09-21 10:02:00.145 INFO  [ModuleRegistry-14] - Module STARTING
2017-09-21 10:02:00.281 INFO  [ModuleRegistry-14] - Module STARTED
2017-09-21 10:07:10.174 INFO  [ModuleRegistry-15] - 
2017-09-21 10:07:10.174 INFO  [ModuleRegistry-15] - *************************************************
2017-09-21 10:07:10.174 INFO  [ModuleRegistry-15] - SensorHub Restarted
2017-09-21 10:07:10.174 INFO  [ModuleRegistry-15] - Starting log for 'Loading Dock 2' [urn:osh:client:0552cd9c-daab-4853-b2c8-1549d1adf36d]
2017-09-21 10:07:10.175 INFO  [ModuleRegistry-15] - Module INITIALIZING
2017-09-21 10:07:10.352 INFO  [ModuleRegistry-15] - Module INITIALIZED
2017-09-21 10:07:10.424 INFO  [ModuleRegistry-15] - Module STARTING
2017-09-21 10:07:10.517 INFO  [ModuleRegistry-15] - Module STARTED
2017-09-21 10:14:59.442 INFO  [ModuleRegistry-15] - 
2017-09-21 10:14:59.442 INFO  [ModuleRegistry-15] - *************************************************
2017-09-21 10:14:59.442 INFO  [ModuleRegistry-15] - SensorHub Restarted
2017-09-21 10:14:59.442 INFO  [ModuleRegistry-15] - Starting log for 'Loading Dock 2' [urn:osh:client:0552cd9c-daab-4853-b2c8-1549d1adf36d]
2017-09-21 10:14:59.442 INFO  [ModuleRegistry-15] - Module INITIALIZING
2017-09-21 10:14:59.848 INFO  [ModuleRegistry-15] - Module INITIALIZED
2017-09-21 10:14:59.854 INFO  [ModuleRegistry-15] - Module STARTING
2017-09-21 10:14:59.944 INFO  [ModuleRegistry-15] - Module STARTED
2017-09-21 10:18:03.222 INFO  [ModuleRegistry-15] - 
2017-09-21 10:18:03.222 INFO  [ModuleRegistry-15] - *************************************************
2017-09-21 10:18:03.222 INFO  [ModuleRegistry-15] - SensorHub Restarted
2017-09-21 10:18:03.222 INFO  [ModuleRegistry-15] - Starting log for 'Loading Dock 2' [urn:osh:client:0552cd9c-daab-4853-b2c8-1549d1adf36d]
2017-09-21 10:18:03.223 INFO  [ModuleRegistry-15] - Module INITIALIZING
2017-09-21 10:18:03.639 INFO  [ModuleRegistry-15] - Module INITIALIZED
2017-09-21 10:18:03.663 INFO  [ModuleRegistry-15] - Module STARTING
2017-09-21 10:18:03.750 INFO  [ModuleRegistry-15] - Module STARTED
2017-09-21 10:20:13.634 INFO  [ModuleRegistry-15] - 
2017-09-21 10:20:13.635 INFO  [ModuleRegistry-15] - *************************************************
2017-09-21 10:20:13.636 INFO  [ModuleRegistry-15] - SensorHub Restarted
2017-09-21 10:20:13.637 INFO  [ModuleRegistry-15] - Starting log for 'Loading Dock 2' [urn:osh:client:0552cd9c-daab-4853-b2c8-1549d1adf36d]
2017-09-21 10:20:13.637 INFO  [ModuleRegistry-15] - Module INITIALIZING
2017-09-21 10:20:14.255 INFO  [ModuleRegistry-15] - Module INITIALIZED
2017-09-21 10:20:14.293 INFO  [ModuleRegistry-15] - Module STARTING
2017-09-21 10:20:14.660 INFO  [ModuleRegistry-15] - Module STARTED
